candidate_id,candidate_name,has_university,has_office_building,has_shopping_mall,has_tourist_attraction,young_population_ratio_pct,daily_foot_traffic,night_economy_score,weekend_holiday_score,social_media_heat_index,customer_profile_score,data_source,collection_method
CD-C01,春熙路步行街南入口,否,否,是,是,45,85000,0.88,0.95,92,0.88,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数
CD-C02,太古里东广场核心区,否,是,是,是,50,92000,0.92,0.95,98,0.92,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数
CD-C03,太古里西侧/IFS连廊区,否,是,是,是,42,78000,0.85,0.88,85,0.82,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数
CD-C04,春熙路步行街北段,否,否,是,是,48,88000,0.90,0.95,90,0.86,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数
CD-C05,天府广场-成都博物馆周边,否,是,否,是,35,55000,0.72,0.80,78,0.75,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数
CD-C06,盐市口-新世界百货周边,否,是,是,否,38,48000,0.70,0.78,72,0.72,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数
CD-C07,盐市口地铁换乘站周边,否,是,是,否,40,62000,0.68,0.72,68,0.74,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数
CD-C08,骡马市地铁TOD周边,否,是,否,否,36,45000,0.65,0.70,65,0.70,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数
CD-C09,建设路小吃街核心区,是,否,否,否,55,68000,0.88,0.92,88,0.90,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数
CD-C10,建设路万达广场室内,是,是,是,否,42,72000,0.75,0.82,75,0.80,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数
CD-C11,建设路电子科大西门,是,是,否,否,72,35000,0.80,0.65,70,0.85,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数
CD-C12,东郊记忆商业区,否,是,否,是,52,28000,0.90,0.88,95,0.85,高德API/统计年鉴/社交媒体,POI查询+统计年鉴+小红书指数

注：
1. has_university: 是否临近高校（500米内有高校校区）
2. has_office_building: 是否临近写字楼（500米内有甲级/乙级写字楼）
3. has_shopping_mall: 是否临近购物中心（500米内有商业综合体）
4. has_tourist_attraction: 是否临近旅游景点（500米内有3A及以上景区）
5. young_population_ratio_pct: 目标区域18-30岁年轻人口占比（%）
6. daily_foot_traffic: 日均客流（人次），反映人流量级
7. night_economy_score: 夜间活跃度评分（0-1），19:00-23:00客流占比和消费强度
8. weekend_holiday_score: 周末/节假日热度评分（0-1），周末客流与工作日比值
9. social_media_heat_index: 社交媒体热度指数（0-100），综合小红书、抖音、微博声量
10. customer_profile_score: 客群画像匹配度（0-1），综合评估与"18-30岁年轻人、30-40元客单价"定位的匹配程度

客群画像匹配说明：
- 春熙路/太古里: 时尚年轻人+游客+白领，高匹配
- 建设路小吃街: 学生群体+年轻居民，非常匹配
- 电子科大西门: 纯学生群体，客群单一但高度匹配
- 东郊记忆: 年轻文艺群体+游客，高匹配
- 交通枢纽型: 流动人口为主，匹配度一般

数据来源说明：
- 高德API: POI查询识别区域功能属性（高校/写字楼/商场/景区）
- 统计年鉴: 人口统计数据用于估算年轻人口占比
- 小红书指数/抖音热力: 社交媒体数据平台热度查询
- 大众点评/美团: 客流数据参考
- 采集时间: 2024年Q4
