城市,商圈等级,平均租金(元/月/㎡),空置率,数据来源,数据时间
北京,核心商圈甲级写字楼,2130,10.50%,戴德梁行2025年报告,2025年上半年
北京,核心商圈优质零售,2130,10.50%,戴德梁行2025年报告,2025年上半年
上海,中高端购物中心,待获取,9.50%,戴德梁行2025年报告,2025年上半年
成都,优质零售物业,585,8.68%,戴德梁行2025年成都报告,2025年第四季度
成都,甲级写字楼,84,31.80%,戴德梁行2025年成都报告,2025年第四季度
南京,中高端购物中心首层,554.65,9.60%,戴德梁行2025年南京报告,2025年第四季度
南京,高品质写字楼(新街口),3.80,元/平方米/天,-,2025年第四季度
深圳,优质购物中心最优层,761.6,9.10%,戴德梁行2025年报告,2025年第二季度
深圳,甲级写字楼,160.1,23.60%,戴德梁行2025年报告,2025年第二季度
广州,核心商圈,待获取,待获取,戴德梁行2025年报告,2025年上半年
杭州,优质零售市场,待获取,待获取,戴德梁行2025年报告,2025年上半年
