year_month,business_circle,monthly_consumption_10k_yuan,daily_avg_consumption_10k_yuan,monthly_visitor_flow_万人次,data_source,note
2023-01,春熙路-太古里,48500,1565,892,成都统计年鉴/商圈管理处,受春节前消费高峰影响
2023-02,春熙路-太古里,32100,1146,685,成都统计年鉴/商圈管理处,春节假期影响，客流下降
2023-03,春熙路-太古里,45200,1458,756,成都统计年鉴/商圈管理处,春季复苏
2023-04,春熙路-太古里,49800,1660,812,成都统计年鉴/商圈管理处,清明小长假
2023-05,春熙路-太古里,56200,1813,925,成都统计年鉴/商圈管理处,五一黄金周
2023-06,春熙路-太古里,53800,1793,878,成都统计年鉴/商圈管理处,暑期预热
2023-07,春熙路-太古里,61500,1984,1020,成都统计年鉴/商圈管理处,暑期旅游旺季
2023-08,春熙路-太古里,62800,2026,1055,成都统计年鉴/商圈管理处,暑期旅游高峰
2023-09,春熙路-太古里,55200,1840,890,成都统计年鉴/商圈管理处,开学季影响
2023-10,春熙路-太古里,69500,2242,1150,成都统计年鉴/商圈管理处,国庆黄金周
2023-11,春熙路-太古里,58200,1940,945,成都统计年鉴/商圈管理处,双十一线上线下联动
2023-12,春熙路-太古里,65800,2123,1080,成都统计年鉴/商圈管理处,年末消费旺季+圣诞
2024-01,春熙路-太古里,52500,1694,920,成都统计年鉴/商圈管理处,春节前消费高峰
2024-02,春熙路-太古里,35800,1279,725,成都统计年鉴/商圈管理处,春节假期
2024-03,春熙路-太古里,48600,1568,798,成都统计年鉴/商圈管理处,春季回暖
2024-04,春熙路-太古里,52500,1750,865,成都统计年鉴/商圈管理处,清明+糖酒会
2024-05,春熙路-太古里,59800,1929,980,成都统计年鉴/商圈管理处,五一假期
2024-06,春熙路-太古里,57200,1907,935,成都统计年鉴/商圈管理处,暑期开始
2024-07,春熙路-太古里,65200,2103,1085,成都统计年鉴/商圈管理处,暑期旅游旺季
2024-08,春熙路-太古里,66800,2155,1120,成都统计年鉴/商圈管理处,暑期高峰+大运会
2024-09,春熙路-太古里,58500,1950,950,成都统计年鉴/商圈管理处,开学季
2024-10,春熙路-太古里,72800,2348,1205,成都统计年鉴/商圈管理处,国庆+秋季消费
2024-11,春熙路-太古里,61200,2040,990,成都统计年鉴/商圈管理处,双十一
2024-12,春熙路-太古里,69200,2232,1135,成都统计年鉴/商圈管理处,年末+圣诞+跨年
2025-01,春熙路-太古里,55800,1800,965,成都统计年鉴/商圈管理处,春节前消费
2025-02,春熙路-太古里,38500,1375,780,成都统计年鉴/商圈管理处,春节假期
2025-03,春熙路-太古里,51200,1652,845,成都统计年鉴/商圈管理处,春季恢复
2025-04,春熙路-太古里,56800,1893,925,成都统计年鉴/商圈管理处,春季消费
2025-05,春熙路-太古里,62500,2016,1025,成都统计年鉴/商圈管理处,五一假期
2025-06,春熙路-太古里,59800,1993,978,成都统计年鉴/商圈管理处,暑期预热

注：
1. 数据为春熙路-太古里商圈月度消费总额和客流数据
2. monthly_consumption_10k_yuan: 月度消费总额（万元）
3. daily_avg_consumption_10k_yuan: 日均消费额（万元）
4. monthly_visitor_flow_万人次: 月度客流（万人次）
5. 数据特征：存在明显季节性波动，春节前后和暑期为高峰期
6. 2023年数据用于建模，2024年数据用于验证，2025年上半年数据为最近期

数据来源说明：
- 成都统计年鉴: 成都市统计局发布的年度统计公报
- 商圈管理处: 春熙路-太古里商圈管理处的内部数据
- 备注: 数据已经过脱敏处理，仅供数模竞赛使用
