月份/时段,季节系数,说明,数据来源
1月(冬季),0.70,春节前效应，整体偏低,霸王茶姬销售数据分析
2月(春节),1.50-3.50,春节假期效应，销量激增,茶百道官方数据2025
3月,0.85,节后恢复期,行业平均
4月,1.00,春季正常水平,行业平均
5月(五一),1.50,五一假期效应,新华网2025年5月
6月(夏季),1.20,夏季冷饮旺季开始,霸王茶姬数据分析
7月(夏季),1.30,夏季高峰,行业平均
8月(夏季),1.35,暑期+夏季高峰,行业平均
9月(秋季),1.00,秋季正常水平,行业平均
10月(国庆),1.50-2.00,国庆假期效应,深圳新闻网2025年10月
11月,0.90,节后回落,行业平均
12月(冬季),0.80,冬季低温+节日分流,霸王茶姬数据分析
周六vs周一,1.62,周六比周一销售额平均高62.3%,霸王茶姬数据分析
工作日午餐时段,1.20,11:00-13:00高峰,行业观察
工作日晚间,1.30,17:00-20:00高峰,行业观察
夏季(6-8月)占比,38.7%,冷饮旺季占全年营收比例,霸王茶姬数据分析
冬季(12月)占比,7.2%,占全年营收比例,霸王茶姬数据分析
