品牌,门店数,定位,特点,数据来源
蜜雪冰城,53000,低价下沉,下沉市场王者,观研天下
古茗,13554,中低端,乡镇占比44%暂未进北京上海,古茗官网
沪上阿姨,10929,中端,覆盖30省,壹览商业
茶百道,8621,中端,近期有收缩趋势,壹览商业
霸王茶姬,7026,中高端,高线城市占58%,窄门餐眼
喜茶,3875,高端,2025年主动收缩关店680家,窄门餐眼
奈雪的茶,1646,高端,直营为主2025年净关店152家,奈雪ESG报告


城市,茶饮门店总数,竞争态势,建议策略,数据来源
上海,4050,高密度,寻找细分市场,GeoQ智图
成都,3629,红海竞争,寻找空白商圈或新兴区域,GeoQ智图
广州,3443,高密度,差异化定位,GeoQ智图
重庆,3181,高密度,寻找空白商圈,GeoQ智图
杭州,2775,竞争激烈,寻找细分市场,GeoQ智图
武汉,2626,中高密度,新兴区域有机会,GeoQ智图
深圳,2606,高密度,差异化定位,GeoQ智图
苏州,2543,中高密度,新兴区域有机会,GeoQ智图
北京,2499,高密度,差异化定位,GeoQ智图
长沙,2418,中等密度,机会较大,GeoQ智图


品牌,省份/城市,门店数,数据来源
霸王茶姬,广东,688,窄门餐眼
霸王茶姬,浙江,639,窄门餐眼
霸王茶姬,江苏,600,窄门餐眼
霸王茶姬,四川,398,窄门餐眼
霸王茶姬,云南,321,窄门餐眼
霸王茶姬,成都,165,窄门餐眼
霸王茶姬,杭州,111,窄门餐眼
古茗,浙江,2689,古茗官网
古茗,福建,1000,古茗官网
古茗,江西,1000,古茗官网
古茗,广东,1000,古茗官网
书亦烧仙草,湖南,1534,极海品牌监测
书亦烧仙草,四川,1256,极海品牌监测
书亦烧仙草,河南,742,极海品牌监测
书亦烧仙草,广东,673,极海品牌监测
书亦烧仙草,湖北,637,极海品牌监测
书亦烧仙草,长沙,550,极海品牌监测
书亦烧仙草,成都,527,极海品牌监测
奈雪的茶,成都,62,投资者网实地调研


品牌,门店总数,自营门店,联营门店,年营收亿元,净利润亿元,月活用户万,城市分布,数据来源
瑞幸咖啡,31048,20234,10814,492.88,36,9840,新一线最多三线占33%,瑞幸2025财报
蜜雪冰城,53000,NA,NA,NA,NA,NA,全国覆盖下沉市场,观研天下
古茗,13554,NA,NA,129.14,31.09,NA,乡镇占44%暂未进北上,古茗官网财报
沪上阿姨,10929,NA,NA,NA,NA,NA,三线以下占52.7%,壹览商业
茶百道,8621,13,NA,53.95,8.2,NA,三线以下占46.1%,壹览商业
霸王茶姬,7026,NA,NA,NA,NA,NA,高线城市占58%,窄门餐眼
茶颜悦色,928,NA,NA,NA,NA,NA,湖南为主,壹览商业
奈雪的茶,1646,1288,358,43.3,-2.4,NA,聚焦一二线直营,奈雪ESG报告
