排名,品牌,门店数,定位,城市分布特点,数据来源
1,蜜雪冰城,44495,低价下沉,全国覆盖下沉市场王者,壹览商业
2,古茗,13278,中低端,乡镇占比44%暂未进北京上海,壹览商业
3,沪上阿姨,10929,中端,三线以下占52.7%,壹览商业
4,茶百道,8178,中端,三线以下占46.1%,壹览商业
5,霸王茶姬,7026,中高端,高线城市占58%,窄门餐眼
6,益禾堂,7000,中低端,下沉市场为主,壹览商业
7,甜啦啦,5000,低价,下沉市场,壹览商业
8,书亦烧仙草,5000,中端,湖南四川最多,壹览商业
9,一点点,4368,中端,江浙粤为主2025年逆势增长,壹览商业
10,喜茶,3875,高端,主动收缩,窄门餐眼
11,CoCo都可,3000,中端,全国覆盖,壹览商业
12,爷爷不泡茶,2000,中端,快速增长,壹览商业
13,吾饮良品,2000,中端,全国布局,壹览商业
14,茉莉奶白,2000,中高端,新锐品牌,壹览商业
15,快乐番薯,1500,细分,特色品类,壹览商业
16,LINLEE林里,1500,细分,柠檬茶为主,壹览商业
17,柠季,1500,细分,柠檬茶为主,壹览商业
18,奈雪的茶,1646,高端,直营为主持续关店,壹览商业
19,茉酸奶,1500,细分,酸奶饮品,壹览商业
20,茶颜悦色,928,区域高端,湖南为主向千店逼近,壹览商业

品牌,省份,门店数,数据来源
霸王茶姬,广东,688,窄门餐眼
霸王茶姬,浙江,639,窄门餐眼
霸王茶姬,江苏,600,窄门餐眼
霸王茶姬,四川,398,窄门餐眼
霸王茶姬,云南,321,窄门餐眼
书亦烧仙草,湖南,1534,极海品牌监测
书亦烧仙草,四川,1256,极海品牌监测
书亦烧仙草,河南,742,极海品牌监测
书亦烧仙草,广东,673,极海品牌监测
书亦烧仙草,湖北,637,极海品牌监测
书亦烧仙草,贵州,516,极海品牌监测
古茗,浙江,2689,古茗官网
古茗,福建,1000,古茗官网
古茗,江西,1000,古茗官网
古茗,广东,1000,古茗官网

城市,茶饮门店总数,竞争态势,建议策略,数据来源
上海,4050,高密度红海,寻找细分市场,GeoQ智图
成都,3629,红海CR5>50%,寻找空白商圈新兴区域,GeoQ智图
广州,3443,高密度,差异化定位,GeoQ智图
重庆,3181,高密度,寻找空白商圈,GeoQ智图
杭州,2775,竞争激烈,寻找细分市场,GeoQ智图
武汉,2626,中高密度,新兴区域有机会,GeoQ智图
深圳,2606,高密度,差异化定位,GeoQ智图
苏州,2543,中高密度,新兴区域有机会,GeoQ智图
北京,2499,高密度,差异化定位,GeoQ智图
长沙,2418,中等密度,机会较大,GeoQ智图
南京,3250,百米5-8家,差异化定位,搜狐财经

品牌类型,代表品牌,竞争激烈度,建议策略
高端茶饮,喜茶奈雪,5星,避开核心商圈优先新兴区域
中高端,霸王茶姬,4星,商场店为主差异化定位
中端,茶百道书亦,3星,寻找空白商圈
低价下沉,蜜雪冰城古茗,2星,乡镇社区市场机会大
细分品类,LINLEE柠季,3星,特色定位有生存空间
