城市,城镇居民人均可支配收入元,同比增长,数据来源
杭州,86640,3.9%,2025年杭州市统计公报
成都,59509,4.4%,2025年成都市统计公报
南京,83084,4.0%,2024年南京市统计公报
上海,待查询,,待查
广州,待查询,,待查
深圳,待查询,,待查
武汉,待查询,,待查
重庆,待查询,,待查
长沙,待查询,,待查
苏州,待查询,,待查
北京,待查询,,待查

城市,18-30岁人口占比,15-59岁人口占比,平均年龄,数据来源
深圳,45.66%,约65%,32.5岁,第七次人口普查
广州,约21%,约65%,35.4岁,第七次人口普查
西安,约20%,68.33%,37.1岁,第七次人口普查
宁波,26.87%,约65%,待查,第七次人口普查
成都,约20%,68.74%,待查,第七次人口普查
南京,约18%,68.27%,待查,第七次人口普查
杭州,约12.8%,65.7%,待查,第七次人口普查

城市,核心商圈,租金元平方米月,数据来源
成都,春熙路,1500-10000+,戴德梁行/安居客
杭州,武林/湖滨,1936,戴德梁行
南京,新街口,2350,戴德梁行
武汉,武广/光谷,389.6,戴德梁行
北京,国贸/王府井,2130,戴德梁行
上海,南京西路/淮海路,2600-3300,戴德梁行
广州,天河路,1450,戴德梁行
天津,南京路,576.3,戴德梁行

城市,商圈名称,客流量万人次日,租金万元月,面积平方米,来源
成都,春熙路步行街,10-15,1.3-16,50-1200,58同城/安居客
成都,太古里,5-8,待查,待查,估算
杭州,湖滨商圈,8-12,待查,待查,估算
杭州,武林商圈,5-8,待查,待查,估算
南京,新街口,15-20,待查,待查,估算
南京,夫子庙,5-10,待查,待查,估算


月份,销售波动系数,季节特征,备注
1月,0.85-1.0,冬季淡季,元旦后回落
2月,1.5-3.0,春节旺季,春节档爆发增长
3月,0.9-1.0,春季回升,开学季
4月,1.0-1.1,春季稳定,清明小长假
5月,1.1-1.2,春夏旺季,五一长假
6月,1.3-1.5,夏季高峰,高考季
7月,1.5-1.8,夏季最旺,暑假开始
8月,1.5-1.7,夏季高峰,高温带动
9月,1.1-1.2,秋季回升,开学季
10月,1.2-1.4,秋季旺季,国庆长假
11月,0.95-1.0,秋季回落,
12月,1.2-1.5,冬季旺季,圣诞+年末

节假日,销售增幅,持续时间,数据来源
春节,300-630%,7-15天,奈雪/茶百道/书亦报告
元宵节,50-100%,3天,行业估算
清明节,30-50%,3天,行业估算
劳动节,80-150%,3-5天,美团数据
端午节,50-100%,3天,行业估算
中秋节,50-120%,3天,美团数据
国庆节,100-200%,7天,美团数据
立秋秋一杯,150-200%,1天,美团数据
情人节,30-50%,1天,行业估算
双11,50-80%,3-5天,行业估算
圣诞,40-70%,2-3天,行业估算

季节,销量占比,冰饮热饮占比,数据来源
夏季6-8月,38%,75%冰饮25%热饮,美团数据
冬季12-2月,25%,40%冰饮60%热饮,美团数据
春秋季,37%,55%冰饮45%热饮,美团数据


商圈类型,租金范围元平方米月,客流量万人次日,坪效万元平方米年,典型商圈
核心商圈,800-2500,10-20,8-15,成都春熙路/杭州湖滨/南京新街口
次级商圈,400-800,3-10,4-8,成都建设路/杭州武林/南京河西
社区商圈,100-400,0.5-3,2-5,各社区底商
新兴商圈,200-600,1-5,3-6,成都高新/杭州未来科技城/南京江北

商圈分类指标,指标说明,分类标准
租金水平,核心商圈平均租金,>800元为首类
客流密度,日均客流量,>10万人次为首类
业态丰富度,业态种类数量,>100种为首类
年轻人口占比,18-30岁人口占比,>25%加分
交通便利度,地铁站点数量,>3个站点加分
