候选区域编号,候选区域名称,所属行政区,所属商圈,区域类型,纬度,经度,数据来源,采集方式,最近地铁站,距地铁站距离(米),地铁线路数,300米公交站点数,临主干道,步行街属性,步行可达性得分,500米停车场数,交通便利度得分,临近高校,临近写字楼,临近购物中心,临近旅游景点,年轻人口占比(%),日均客流量,夜间活跃度得分,周末节假日热度得分,社交媒体热度指数,客群匹配度得分,最低租金(元/㎡/月),最高租金(元/㎡/月),平均租金(元/㎡/月),可选面积下限(㎡),可选面积上限(㎡),租售比,常见租约年限,租金性价比得分,500米茶饮门店数,500米咖啡门店数,500米甜品门店数,500米总竞争门店数,茶饮密度等级,竞争强度指数,消费能力匹配度得分,候选区域标签
CD-C01,春熙路步行街南入口,锦江区,春熙路-太古里,步行街入口,30.6581,104.7962,高德API/实地调研,地图坐标+实地勘察,春熙路站E口,120.0,2.0,8.0,1,0,0.9,5.0,0.92,0,0,1,1,45.0,85000.0,0.88,0.95,92.0,0.88,280.0,420.0,350.0,30.0,120.0,0.18,3-5年,0.65,28.0,18.0,12.0,58.0,高密度,0.92,0.5898,春熙路-太古里｜步行街入口
CD-C02,太古里东广场核心区,锦江区,春熙路-太古里,开放式商业街区,30.6598,104.7985,高德API/实地调研,地图坐标+实地勘察,春熙路站/太古里接驳,200.0,2.0,6.0,1,0,0.88,8.0,0.9,0,1,1,1,50.0,92000.0,0.92,0.95,98.0,0.92,350.0,550.0,450.0,40.0,200.0,0.16,5年起,0.7,22.0,25.0,15.0,62.0,高密度,0.88,0.9444,春熙路-太古里｜开放式商业街区
CD-C03,太古里西侧/IFS连廊区,锦江区,春熙路-太古里,高端购物中心,30.6605,104.797,高德API/实地调研,地图坐标+实地勘察,春熙路站D口,350.0,2.0,5.0,1,0,0.82,10.0,0.85,0,1,1,1,42.0,78000.0,0.85,0.88,85.0,0.82,400.0,800.0,600.0,50.0,300.0,0.15,5-10年,0.72,15.0,32.0,20.0,67.0,中高密度,0.85,0.9676,春熙路-太古里｜高端购物中心
CD-C04,春熙路步行街北段,锦江区,春熙路-太古里,步行街核心,30.6612,104.7955,高德API/实地调研,地图坐标+实地勘察,春熙路站A口,80.0,2.0,7.0,1,1,0.95,3.0,0.88,0,0,1,1,48.0,88000.0,0.9,0.95,90.0,0.86,300.0,450.0,380.0,25.0,100.0,0.19,3-5年,0.62,32.0,12.0,8.0,52.0,高密度,0.95,0.5944,春熙路-太古里｜步行街核心
CD-C05,天府广场-成都博物馆周边,青羊区,盐市口-天府广场,城市广场/文旅,30.6632,104.773,高德API/实地调研,地图坐标+实地勘察,天府广场站,150.0,1.0,10.0,1,0,0.92,6.0,0.9,0,1,0,1,35.0,55000.0,0.72,0.8,78.0,0.75,180.0,280.0,230.0,50.0,200.0,0.14,3-5年,0.85,8.0,14.0,10.0,32.0,中密度,0.55,0.6334,盐市口-天府广场｜城市广场/文旅
CD-C06,盐市口-新世界百货周边,锦江区,盐市口-天府广场,传统商圈,30.6555,104.7805,高德API/实地调研,地图坐标+实地勘察,锦江宾馆站,280.0,1.0,6.0,1,0,0.78,4.0,0.72,0,1,1,0,38.0,48000.0,0.7,0.78,72.0,0.72,150.0,250.0,200.0,40.0,150.0,0.16,3年,0.8,18.0,10.0,6.0,34.0,中密度,0.62,0.6998,盐市口-天府广场｜传统商圈
CD-C07,盐市口地铁换乘站周边,锦江区,盐市口-天府广场,地铁上盖,30.6548,104.7798,高德API/实地调研,地图坐标+实地勘察,天府广场站/骡马市站,100.0,2.0,8.0,1,0,0.94,3.0,0.95,0,1,1,0,40.0,62000.0,0.68,0.72,68.0,0.74,200.0,320.0,260.0,30.0,100.0,0.15,3-5年,0.78,14.0,8.0,5.0,27.0,中密度,0.48,0.7199,盐市口-天府广场｜地铁上盖
CD-C08,骡马市地铁TOD周边,青羊区,盐市口-天府广场,地铁TOD,30.6638,104.7765,高德API/实地调研,地图坐标+实地勘察,骡马市站,50.0,2.0,5.0,1,0,0.96,2.0,0.98,0,1,0,0,36.0,45000.0,0.65,0.7,65.0,0.7,160.0,280.0,220.0,35.0,120.0,0.13,5年起,0.88,10.0,12.0,8.0,30.0,中密度,0.52,0.4817,盐市口-天府广场｜地铁TOD
CD-C09,建设路小吃街核心区,成华区,建设路-万达,美食街区,30.6752,104.7625,高德API/实地调研,地图坐标+实地勘察,建设路站,180.0,1.0,7.0,1,0,0.85,6.0,0.82,1,0,0,0,55.0,68000.0,0.88,0.92,88.0,0.9,120.0,200.0,160.0,25.0,80.0,0.12,2-3年,0.9,25.0,6.0,4.0,35.0,高密度,0.78,0.0012,建设路-万达｜美食街区
CD-C10,建设路万达广场室内,成华区,建设路-万达,购物中心,30.676,104.7618,高德API/实地调研,地图坐标+实地勘察,建设路站,220.0,1.0,5.0,1,0,0.8,8.0,0.78,1,1,1,0,42.0,72000.0,0.75,0.82,75.0,0.8,100.0,180.0,140.0,40.0,150.0,0.11,3-5年,0.92,12.0,15.0,10.0,37.0,中密度,0.58,0.6977,建设路-万达｜购物中心
